Input Files Path : ./benchmarks/MKG-Y/
The toolkit is importing datasets.
The total of relations is 28.
The total of entities is 15000.
The total of train triples is 21310.
Input Files Path : ./benchmarks/MKG-Y/
The total of test triples is 2663.
The total of valid triples is 2665.

Test Head: 107 0 4553 317

Test Tail: 107 0 4553 4

Test Head: 1052 0 7446 12928

Test Tail: 1052 0 7446 9703

Test Head: 1214 0 1215 15

Test Tail: 1214 0 1215 0

Test Head: 1436 0 14806 2470

Test Tail: 1436 0 14806 14487

Test Head: 1602 0 8190 3

Test Tail: 1602 0 8190 0

Test Head: 2054 0 1917 886

Test Tail: 2054 0 1917 5

Test Head: 2334 0 998 15

Test Tail: 2334 0 998 0

Test Head: 2946 0 883 1354

Test Tail: 2946 0 883 10239

Test Head: 3042 0 1917 1019

Test Tail: 3042 0 1917 6

Test Head: 3246 0 3200 0

Test Tail: 3246 0 3200 0

Test Head: 3297 0 12321 2012

Test Tail: 3297 0 12321 2390

Test Head: 3540 0 4742 5297

Test Tail: 3540 0 4742 0

Test Head: 3899 0 7436 25

Test Tail: 3899 0 7436 2

Test Head: 3934 0 961 662

Test Tail: 3934 0 961 12949

Test Head: 4556 0 2302 21

Test Tail: 4556 0 2302 0

Test Head: 4598 0 4341 801

Test Tail: 4598 0 4341 58

Test Head: 5214 0 8894 4238

Test Tail: 5214 0 8894 12491

Test Head: 5421 0 13636 3049

Test Tail: 5421 0 13636 8885

Test Head: 5680 0 1055 43

Test Tail: 5680 0 1055 97

Test Head: 5983 0 9817 0

Test Tail: 5983 0 9817 0

Test Head: 6045 0 1917 1621

Test Tail: 6045 0 1917 3

Test Head: 6291 0 14809 880

Test Tail: 6291 0 14809 14758

Test Head: 6346 0 10491 5

Test Tail: 6346 0 10491 5

Test Head: 6491 0 6492 0

Test Tail: 6491 0 6492 0

Test Head: 6997 0 13454 1

Test Tail: 6997 0 13454 0

Test Head: 7159 0 7160 0

Test Tail: 7159 0 7160 0

Test Head: 7460 0 92 2

Test Tail: 7460 0 92 1

Test Head: 7483 0 13551 1

Test Tail: 7483 0 13551 0

Test Head: 7584 0 998 58

Test Tail: 7584 0 998 0

Test Head: 8004 0 13534 41

Test Tail: 8004 0 13534 11

Test Head: 8502 0 4504 11

Test Tail: 8502 0 4504 3

Test Head: 8922 0 1419 9791

Test Tail: 8922 0 1419 4152

Test Head: 9222 0 11431 9

Test Tail: 9222 0 11431 2

Test Head: 9281 0 4125 600

Test Tail: 9281 0 4125 164

Test Head: 9611 0 585 3289

Test Tail: 9611 0 585 5

Test Head: 9850 0 9817 22

Test Tail: 9850 0 9817 0

Test Head: 10041 0 4929 13602

Test Tail: 10041 0 4929 739

Test Head: 10328 0 2900 13090

Test Tail: 10328 0 2900 59

Test Head: 10508 0 2393 2996

Test Tail: 10508 0 2393 8094

Test Head: 10805 0 10639 2279

